customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00020,Female,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.67,1437.72,No
CUST-00021,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,93.1,5450.26,No
CUST-00022,Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,538.21,Yes
CUST-00023,Female,0,Yes,Yes,15,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.02,797.41,No
CUST-00024,Female,1,Yes,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,107.24,3226.5,No
CUST-00025,Female,0,Yes,Yes,43,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),85.99,3697.23,No
CUST-00026,Male,1,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.76,880.19,No
CUST-00027,Female,1,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,90.66,2249.21,No
CUST-00028,Female,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,70.13,479.49,No
CUST-00029,Male,0,Yes,Yes,44,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,50.74,2246.26,No
CUST-00030,Male,0,Yes,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.25,1027.67,No
CUST-00031,Male,0,Yes,No,19,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),50.54,918.56,No
CUST-00032,Male,0,Yes,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),91.69,4193.11,No
CUST-00033,Female,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,96.14,3925.5,No
CUST-00034,Female,1,Yes,No,36,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,69.38,2492.39,No
CUST-00035,Male,0,No,No,0,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.68,0.0,Yes
CUST-00036,Female,0,No,Yes,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),85.31,1855.7,No
CUST-00037,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.55,837.15,No
CUST-00038,Male,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),62.24,3694.8,Yes
CUST-00039,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),64.65,3864.08,Yes
CUST-00040,Male,0,No,No,63,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),55.95,3540.54,No
CUST-00041,Female,0,Yes,No,33,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),66.11,2192.43,No
CUST-00042,Female,0,No,Yes,23,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,93.13,2136.59,No
CUST-00043,Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.47,2879.69,No
CUST-00044,Male,0,No,No,57,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,60.62,3460.55,No
CUST-00045,Female,0,Yes,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,811.41,No
CUST-00046,Male,1,No,No,43,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),49.59,2144.39,No
CUST-00047,Female,0,Yes,Yes,31,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.58,2785.11,Yes
CUST-00048,Female,0,Yes,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.68,960.63,No
CUST-00049,Female,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,91.45,5755.84,No
CUST-00050,Female,0,No,No,48,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,56.43,2703.78,No
CUST-00051,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.28,592.06,No
CUST-00052,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,101.56,6195.59,No
CUST-00053,Male,1,Yes,No,68,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),74.85,5126.94,No
CUST-00054,Male,0,No,No,58,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),71.28,4144.73,No
CUST-00055,Male,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,1137.54,Yes
CUST-00056,Female,0,Yes,Yes,19,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,79.54,1481.44,No
CUST-00057,Male,0,Yes,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.3,670.42,No
CUST-00058,Female,0,No,No,18,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,57.26,1023.18,No
CUST-00059,Female,0,No,Yes,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),55.9,1460.01,No
CUST-00060,Female,0,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.17,1121.64,No
CUST-00061,Female,0,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.45,1067.18,Yes
CUST-00062,Male,0,Yes,No,0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.95,0.0,No
CUST-00063,Female,0,Yes,No,55,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.29,4308.33,No
CUST-00064,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.68,1090.61,No
CUST-00065,Male,0,No,Yes,13,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,88.46,1205.61,No
CUST-00066,Female,0,Yes,No,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),97.53,3788.62,Yes
CUST-00067,Male,0,No,No,17,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,59.91,1029.67,Yes
CUST-00068,Male,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,1316.91,No
CUST-00069,Male,1,No,No,10,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,52.56,547.57,No
CUST-00070,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),71.47,785.74,No
CUST-00071,Male,0,No,No,55,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),65.25,3592.09,No
CUST-00072,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),66.17,1307.15,No
CUST-00073,Male,0,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),84.14,4408.88,Yes
CUST-00074,Female,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),88.28,4321.2,Yes
CUST-00075,Male,0,No,No,13,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,79.6,1033.33,No
CUST-00076,Male,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.69,3581.42,Yes
CUST-00077,Male,1,Yes,No,39,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),60.89,2368.46,No
CUST-00078,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.23,116.69,Yes
CUST-00079,Female,1,Yes,No,55,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,105.57,5828.14,No
CUST-00080,Female,0,Yes,Yes,62,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,66.58,4133.29,No
CUST-00081,Male,0,No,Yes,69,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,57.9,4017.0,Yes
CUST-00082,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),85.08,464.79,Yes
CUST-00083,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.4,280.21,No
CUST-00084,Female,0,No,No,60,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),92.25,5508.17,No
CUST-00085,Female,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.36,463.3,No
CUST-00086,Male,0,Yes,Yes,45,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.97,2681.48,No
CUST-00087,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.69,543.56,No
CUST-00088,Female,0,No,No,15,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,52.26,802.85,No
CUST-00089,Female,0,Yes,No,45,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,70.76,3167.37,No
CUST-00090,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,81.2,1218.72,No
CUST-00091,Female,1,No,No,9,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),63.88,593.45,No
CUST-00092,Female,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.82,3047.85,No
CUST-00093,Male,0,No,No,14,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.26,770.45,Yes
CUST-00094,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,86.16,1226.22,No
CUST-00095,Male,1,No,No,56,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),79.29,4474.41,Yes
CUST-00096,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),84.25,3225.8,No
CUST-00097,Female,0,No,No,39,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),78.59,3040.4,Yes
CUST-00098,Female,1,Yes,No,10,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,56.95,547.79,No
CUST-00099,Male,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.3,202.82,Yes
CUST-00100,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,86.94,2446.03,Yes
CUST-00101,Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.66,3003.9,No
CUST-00102,Female,0,No,No,32,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,60.28,1913.12,No
CUST-00103,Male,0,No,Yes,9,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,63.86,573.25,No
CUST-00104,Female,0,No,Yes,65,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,73.96,4791.04,No
CUST-00105,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,76.51,1969.13,No
CUST-00106,Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.71,1171.02,No
CUST-00107,Female,0,Yes,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.14,524.59,No
CUST-00108,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),72.16,2462.55,No
CUST-00109,Female,0,No,No,8,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.85,627.37,No
CUST-00110,Male,1,No,No,49,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,72.74,3577.65,Yes
CUST-00111,Female,0,No,Yes,4,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.82,280.73,No
CUST-00112,Female,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.93,5819.11,Yes
CUST-00113,Male,0,Yes,No,64,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,81.19,5174.03,Yes
CUST-00114,Female,0,Yes,Yes,26,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,59.84,1561.53,No
CUST-00115,Female,0,No,No,64,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),63.74,4115.61,Yes
CUST-00116,Male,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.54,3808.91,No
CUST-00117,Male,1,No,No,0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.51,0.0,Yes
CUST-00118,Male,0,No,Yes,14,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),48.57,676.03,No
CUST-00119,Male,1,No,No,46,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),59.85,2741.5,No
CUST-00120,Male,1,Yes,No,51,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),65.94,3385.04,No
CUST-00121,Female,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.38,118.52,No
CUST-00122,Female,0,Yes,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.38,1014.15,No
CUST-00123,Male,1,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.51,1172.86,No
CUST-00124,Female,0,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,90.59,No
CUST-00125,Female,0,Yes,No,64,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),61.45,3919.68,No
CUST-00126,Male,0,No,No,38,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.61,2767.23,No
CUST-00127,Female,0,No,Yes,45,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),86.3,3871.54,No
CUST-00128,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.11,300.19,Yes
CUST-00129,Female,0,No,No,44,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.89,3862.39,Yes
CUST-00130,Female,0,No,No,33,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,73.65,2443.11,No
CUST-00131,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.16,486.43,No
CUST-00132,Male,1,No,No,56,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,61.53,3433.35,No
CUST-00133,Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,82.33,1479.32,No
CUST-00134,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.59,102.3,No
CUST-00135,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,77.23,2758.76,Yes
CUST-00136,Female,0,No,Yes,54,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,97.84,5307.35,No
CUST-00137,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.89,901.56,Yes
CUST-00138,Male,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.37,1381.82,No
CUST-00139,Male,0,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.73,1196.86,No
CUST-00140,Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,83.76,5676.38,Yes
CUST-00141,Male,0,No,No,34,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,93.43,3133.07,No
CUST-00142,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.57,186.55,No
CUST-00143,Male,1,No,Yes,12,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,80.31,976.27,No
CUST-00144,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,80.41,2887.52,No
CUST-00145,Female,1,Yes,No,42,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),88.46,3683.65,No
CUST-00146,Male,0,Yes,Yes,53,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,68.65,3627.33,No
CUST-00147,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),91.83,5333.6,Yes
CUST-00148,Female,0,Yes,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.51,1021.73,No
CUST-00149,Male,1,No,No,42,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),69.6,2936.64,No
CUST-00150,Female,1,No,Yes,1,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,70.36,38.01,Yes
CUST-00151,Male,0,Yes,No,38,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.28,1978.54,Yes
CUST-00152,Female,0,No,Yes,59,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),87.42,5155.78,No
CUST-00153,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),71.15,4352.81,No
CUST-00154,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,88.96,5325.53,No
CUST-00155,Female,1,No,No,0,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),55.74,10.7,Yes
CUST-00156,Male,0,No,Yes,31,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),59.32,1819.93,Yes
CUST-00157,Female,0,No,No,45,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,65.51,2952.29,No
CUST-00158,Female,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),53.67,960.2,No
CUST-00159,Female,0,No,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.38,554.99,No
CUST-00160,Female,1,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.05,195.61,No
CUST-00161,Female,0,No,No,14,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),88.52,1232.62,Yes
CUST-00162,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.97,0.0,No
CUST-00163,Male,0,No,No,71,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),54.68,3853.79,No
CUST-00164,Male,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.6,1173.0,No
CUST-00165,Female,0,Yes,No,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),87.06,2513.87,No
CUST-00166,Male,1,No,Yes,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,81.46,0.0,Yes
CUST-00167,Male,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),96.94,2309.67,Yes
CUST-00168,Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),95.23,2960.44,No
CUST-00169,Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,69.08,847.61,Yes
CUST-00170,Male,0,No,Yes,48,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),51.43,2494.81,No
